Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
113,1837,1843,1-0,15,-,15,-,"6,7,8,9,10,11,15","4,5,6,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15","b1c3,e1g1,b1c3,d2f3,e1g1,e2f4,b2c1","d7d5,d7d5,e7e5,c6b4,c6b4,c6b4,c6b4,c6b4,e8c8,e8c8,c6b4,c6b4,c6b4,c6b4,c6b4,c6b4,e3h6,e3h6,e8g8,e8g8"
147,1622,1640,0-1,11,-,-,11,"9,10,11",11,"d3b5,d1f3,f3d5",e8c8
148,1936,1880,1-0,9,-,-,8,9,"7,8",f3g5,"g8f6,e7e6"
145,2189,2103,1-0,11,-,5,-,"7,8,9,10,11,11","4,5","e2e4,f1d3,g1e2,g1e2,g2g4,g2g4","e8g8,c7c5"
151,1578,1704,0-1,8,-,6,-,8,6,g5e3,e8g8
152,1244,1198,0-1,-,9,-,9,"8,9",9,"g1h3,c3b5",e8c8
149,1827,1635,1-0,11,-,-,15,"9,10,11","11,12,15","f3d2,f4e5,c1e3","c5e4,f6e4,e8c8"
136,2143,2089,1-0,13,-,-,-,"7,8,9,10,11,13","8,9,10,11,12,12,13,13,14,14,15","e1g1,a2a3,e1g1,c3d4,c1g5,b1f5","c5d4,c5d4,c6a5,f5e3,b4e7,b4e7,b4d2,b4d2,f5d4,f5d4,d4f3"
150,1850,2034,1-0,12,-,11,-,"10,12","9,10,11","a1c1,e1g1","d5d8,e4c3,e4f6"
156,2116,2029,1-0,7,-,6,-,7,6,e1g1,c7c5
158,2080,1902,1-0,9,-,9,-,9,"8,9",e1g1,"e8g8,e8g8"
160,1364,1373,0-1,-,-,-,-,-,"13,14,15,15",-,"b4d2,e6e5,e6e5,e6e5"
153,1858,1853,0-1,-,-,-,-,"12,13","7,8,9,10,11,12,13,14,15","f3d4,e3d5","c8g4,h7h5,e7e6,g4e3,g4e3,g4e3,d4e3,g4e3,b6b2"
162,1843,1824,0-1,5,-,10,-,5,"7,8,9,10",e1g1,"e7f6,b8c6,b7c6,a8b8"
154,1558,1562,0-1,5,-,-,14,"4,5","8,9,10,11,12,13,13,14,14","e4d5,f3d4","h7h6,g4f5,e2h5,e8g8,g7f6,g6e4,g6e4,e8g8,e8g8"
161,1424,1335,1-0,-,10,5,-,"7,8,9,10","4,5","e4e5,e1c1,e1c1,e1c1","d7d5,e8g8"
165,1764,1768,0-1,8,-,9,-,8,9,e1g1,e8g8
166,1788,1759,1-0,-,11,10,-,"10,11",10,"e1c1,e1c1",e8g8
169,874,815,1/2-1/2,-,-,-,-,"13,14,15",-,"f3h5,f3h5,f3h5",-
155,1913,1881,1-0,-,-,8,-,"4,5,6,7,8,10,11,12,13,14,15","5,6,7,8","d2d3,b5c6,f3e5,b1d2,d2b3,e1g1,b2b3,a2a4,c3e5,e1g1,e5g3","b7c6,f6d7,c8e6,f6d7"
167,1436,1506,0-1,-,-,-,-,"6,7,8,9","14,15","e2e3,b5d7,e1c1,g1f3","f8b4,f8b4"
170,1922,1905,0-1,7,-,-,7,7,7,f3e5,e5f4
168,2007,2017,0-1,9,-,8,-,"4,5,6,7,8,9",8,"d1e2,e1g1,e4d5,c4b3,c4b3,e1g1",d8a5
163,2034,1953,1-0,4,-,-,-,4,"7,8,9,10,11,12,13,13,14,14,15,15",b1c3,"c5b6,a7a5,b6a7,h7h6,e8g8,e8g8,g4e6,g4e6,g4e6,g4e6,h4h3,h4h3"
159,1894,2040,0-1,-,-,12,-,"6,7,8,9,10,10,11,11,12,12,13,13,14,14,15,15","8,9,10,12","e1g1,e1g1,e1g1,c3c4,d2e4,e3f4,e4d6,e4d6,e1g1,e1g1,d3h7,d3h7,e1g1,e1g1,f3e5,f3e5","f5f4,f5f4,d5e4,d6h6"
164,1794,1847,0-1,-,-,12,-,"10,11,11,13,13,14,15,15","6,7,8,9,10,11,12","f1d3,d3e4,d3e4,e1g1,e1g1,f2g3,f3h2,f3h2","h7h6,g7g5,f6e4,b4c3,b4c3,b4c3,h6h5"
177,2037,2050,0-1,6,-,5,-,6,5,d2d3,e5e4
157,1689,1711,1/2-1/2,-,-,-,-,"8,9,10,11,13,13,14","7,10,11,12,13,14,15","d3e2,b1c3,b2f6,e1g1,e1g1,e1c1,b2f6","e5e4,a7a5,d5c4,b4d2,c4b3,g4f3,g4f3"
175,1765,1801,1-0,-,-,4,-,"12,13,14,14,15",4,"b1d2,f3d2,b2g7,b2g7,c4f7",d7d5
173,2184,2097,1-0,-,-,-,-,15,"10,12,13,14,14,15,15",c3d5,"b8c6,d6e7,f6d5,e8c8,e8c8,e6d5,e6d5"
179,1760,1766,1-0,6,-,5,-,6,5,b2b3,b7b6
178,2052,2175,1-0,8,-,6,-,8,6,e1g1,b8c6
171,1458,1476,1-0,9,-,-,-,"7,8,9","10,11,12","b5e2,c2c4,c2c4","c5a7,f7f6,e8g8"
172,1206,1264,1-0,-,-,-,-,"4,5,6,7,8","12,13,14,15","c2c3,b5c6,f3e5,d2d4,d1e2","f4h2,g5d5,e8g8,h4h3"
176,1550,1561,1-0,7,-,14,-,7,"7,9,10,11,12,13,14",a2a3,"e8g8,b4d6,a5c7,d5c4,d5c4,f6e4,e6e5"
181,1489,1422,1-0,-,-,-,-,-,"4,5,6",-,"e8g8,e8g8,f6e4"
184,2026,2015,0-1,7,-,-,9,7,"7,8,9",h2h3,"c7c6,a5b6,c7c6"
186,2124,2152,0-1,6,-,4,-,6,4,c2c3,c7c5
180,1941,1956,1-0,9,-,12,-,9,"8,9,10,11,12,12",d1e2,"d6f4,d8c7,f4d6,e8g8,e8g8,e8g8"
185,1357,1358,1-0,4,-,12,-,4,"11,12,12",d1e2,"c5c4,a8d8,a8d8"
188,2008,1914,0-1,9,-,7,-,"7,9",7,"e1g1,e1g1",e7b4
183,1957,1945,0-1,-,-,-,-,"5,6,7,8,9,11,12,13,14,15,15",-,"c4f7,f3g5,d1g4,g4g3,e1g1,g2f3,d2d3,h1g1,h1g1,f3f4,f3f4",-
182,1458,1481,1-0,10,-,11,-,"4,5,6,7,8,9,10,10","10,11","d1e2,c2d3,e1g1,d1f3,f3g3,e1g1,e1c1,e1c1","e8g8,e8g8"
193,798,884,1-0,7,-,-,-,7,-,d3b5,-
192,2070,2028,1-0,8,-,5,-,8,5,b2b3,b8c6
190,1865,1828,0-1,10,-,12,-,"9,10","11,12","b3c2,e1g1","b8c6,b8c6"
197,1099,1134,1-0,-,-,-,-,-,8,-,e8c8
174,1280,1426,0-1,12,-,-,14,"4,5,6,7,8,9,10,11,12","8,10,11,11,12,12,13,13,14,14","b5a4,e1g1,e5c4,c4d6,c4d6,c4d6,d1f3,e1g1,d1d2","e6c4,g8e7,d6b4,d6b4,c6c5,c6c5,e8g8,e8g8,e8g8,c6c5"
194,1558,1559,0-1,-,-,7,-,"9,10,11","6,7","b5d3,d4e5,e1g1","b4c3,f6e4"
189,1694,1699,1-0,7,-,-,-,7,"6,7,8,9,10,11,12",d1e2,"f7f5,h6g7,c6e5,h6g7,e6e5,e6e5,e7f5"
199,1876,1863,1-0,7,-,10,-,"5,6,7","8,9,9,10,10","d3e4,c2c3,b2b4","a7a5,a7a5,a7a5,e8g8,e8g8"
187,1756,1757,0-1,9,-,-,-,9,"7,8,9,10,11,12,12,13,13,14,14,15,15",f4f5,"b8c6,b8c6,b8c6,h7h5,c8d7,b6b2,b6b2,h7g6,h7g6,h8f8,h8f8,c5b4,c5b4"
200,2126,2046,1-0,10,-,9,-,10,"8,9",e1g1,"c5b4,e8g8"
