Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
70,2491,2488,1-0,-,-,14,-,"4,5,6,7,8,9,10,11,12,13,14,15,15","11,12,13,14","e1g1,d2d3,c1b2,h2h4,d2d3,e4e5,g2g3,g2g3,a2a4,d1e2,b2a3,e1c1,e1c1","d8c7,e7f8,a8b8,e7f8"
76,2443,2456,1-0,-,-,10,-,"8,9,10,11","8,9,10","e4e5,c3d5,d1d5,d5a8","f6g4,g7e5,e8g8"
79,2627,2453,1/2-1/2,7,-,5,-,7,5,d2d4,e8g8
72,2716,2726,1-0,15,-,12,-,"8,9,10,11,12,13,13,14,14,15,15","8,9,10,11,12","f3d2,d2e4,g5h4,h4g3,h2h4,e1g1,e1g1,g2f3,g2f3,e1g1,e1g1","e8g8,d5e4,e6e5,e8g8,e8g8"
81,2380,2519,1-0,9,-,6,-,9,6,g3g4,e8g8
78,2471,2472,0-1,10,-,-,-,"7,8,9,10",11,"e4e5,c1e3,e1g1,f4f5",e8g8
80,2421,2257,1-0,-,10,-,-,10,"8,9,10,11,12,13,15",e1c1,"b7c6,h7h6,a8b8,d6d5,d6d5,f6d5,e7d6"
82,2327,2414,0-1,-,12,-,-,"10,11,12","8,9,10,11,12,12,13,14,15","e4d5,c3d5,d2d5","c8e6,d6d5,f6d5,d8d5,e8c8,e8c8,e8g8,d8d2,e7c5"
83,2530,2460,1-0,5,-,12,-,"4,5","8,9,10,11,12","b5d7,e1g1","e8g8,d6d5,f6e4,e4d2,d7b8"
77,2518,2551,0-1,-,-,12,-,"6,7,8,9,10,11,12,12,13,13,14,14,15,15","9,10,10,11,11,12,12","c2c4,c2c4,e1g1,g2g4,c2c4,c4d5,c4d5,f3e5,h4g6,h4g6,e1g1,e1g1,h4h5,h4h5","d8e7,e8g8,e8g8,e8g8,e8g8,e5c6,e5c6"
84,2375,2489,1/2-1/2,10,-,10,-,"9,10","9,10","e4e5,e1g1","c7c5,e8g8"
85,2409,2237,1-0,7,-,12,-,7,12,e1g1,h7h6
87,2595,2609,0-1,10,-,12,-,10,12,d1e2,e8g8
86,2234,2405,0-1,8,-,10,-,"6,7,8",10,"d4d5,c4d5,e1g1",e8g8
88,2567,2612,0-1,7,-,5,-,7,"4,5",e1g1,"e8g8,e8g8"
89,2509,2491,1-0,11,-,6,-,"11,11",6,"g3d6,g3d6",c7c5
92,2437,2316,1-0,-,-,8,-,15,"7,8",c3d5,"b8d7,b8d7"
91,2382,2568,1/2-1/2,10,-,9,-,10,"7,8,9",e1g1,"b4c3,d7d5,d5e4"
90,2489,2511,0-1,13,-,11,-,13,"9,10,11",e1g1,"b7c6,d5d4,e8g8"
93,2765,2762,0-1,9,-,-,9,"7,8,9","7,8,9","h2h3,d1f3,c4b5","g4f3,e8c8,e8c8"
97,2636,2520,0-1,7,-,8,-,7,8,e1g1,c5c4
96,2560,2547,0-1,5,-,13,-,5,13,d1a4,e8g8
