Id,WhiteElo,BlackElo,Result,WhiteSingleSwine,WhiteDoubleSwine,BlackSingleSwine,BlackDoubleSwine
321,3226,3109,1-0,False,False,False,False
322,3011,3019,1/2-1/2,True,False,True,False
323,3004,2913,1-0,False,False,True,False
324,2894,3051,1/2-1/2,True,False,True,True
325,2780,3047,0-1,False,False,True,False
326,3224,2964,1/2-1/2,False,False,True,False
327,2797,2964,0-1,False,False,False,False
328,3047,3224,1/2-1/2,False,False,True,False
329,3192,2894,1-0,True,False,False,False
330,2913,2745,1/2-1/2,True,False,False,False
331,3083,3004,1/2-1/2,False,False,False,False
332,2510,2688,1-0,True,False,False,False
333,3019,3030,1-0,True,False,False,False
334,3109,3011,1-0,True,False,False,False
335,3035,3226,0-1,False,False,False,False
336,3083,2901,1-0,False,False,False,False
337,2901,2797,1/2-1/2,True,False,True,False
338,3226,3083,1-0,False,False,False,False
339,3011,3035,1/2-1/2,False,False,True,False
340,3030,3109,1/2-1/2,True,False,True,False
341,2894,2913,1/2-1/2,False,False,False,False
342,2780,3051,0-1,False,False,False,False
343,3224,3114,1-0,True,False,True,False
344,2964,3047,1/2-1/2,True,False,True,False
345,2797,3047,0-1,False,False,False,False
346,3114,2964,1-0,False,False,False,False
347,3051,3224,0-1,True,False,False,False
348,2913,2660,1/2-1/2,True,False,False,False
349,3083,2894,1-0,False,False,False,False
350,2510,2745,1/2-1/2,True,False,True,False
351,3019,3004,1/2-1/2,True,False,True,False
352,3035,3030,1-0,False,False,False,False
353,3083,3011,1-0,False,False,False,False
354,3011,2901,1-0,False,False,False,False
355,3030,3083,1/2-1/2,False,False,True,False
356,3004,3109,1/2-1/2,False,False,False,False
357,2745,3019,0-1,False,False,False,False
358,2780,2913,0-1,False,False,True,False
359,3224,3192,1/2-1/2,False,False,False,False
361,3047,3114,1-0,False,False,False,False
360,2964,3051,1/2-1/2,False,False,False,False
362,3051,3047,1/2-1/2,True,False,False,False
363,3192,2964,1-0,False,False,False,False
364,2510,2660,1-0,True,False,False,False
365,3019,2894,1-0,False,False,False,False
366,3035,3004,0-1,False,False,False,False
368,3226,3011,1-0,True,False,False,False
369,3011,2797,1-0,False,False,False,False
367,2901,3030,0-1,False,False,False,False
370,3030,3226,0-1,False,False,True,False
371,2688,2901,0-1,True,False,True,False
372,3004,3083,1/2-1/2,False,False,False,False
373,2745,3035,0-1,False,False,True,False
374,2894,3109,1/2-1/2,False,False,False,False
375,2780,2510,0-1,False,False,True,True
376,3224,3083,1-0,False,False,False,False
377,2964,2913,1-0,False,False,False,False
378,3047,3192,0-1,True,False,True,False
380,2797,3051,1/2-1/2,False,False,True,False
379,3114,3051,1/2-1/2,True,False,False,False
381,3192,3114,1/2-1/2,False,False,True,False
382,2913,3047,1/2-1/2,True,False,True,False
383,3083,2964,1/2-1/2,False,False,True,False
384,3019,2780,1-0,True,False,False,False
385,3035,2894,1/2-1/2,True,False,True,True
386,2901,3004,0-1,True,False,True,False
387,3011,3030,1/2-1/2,True,False,False,False
388,3030,2797,1/2-1/2,True,False,True,False
389,3004,3226,0-1,False,False,False,False
390,2745,2901,0-1,False,False,True,False
391,2894,3083,1/2-1/2,False,False,False,False
392,3224,3019,1/2-1/2,False,False,False,False
393,3047,3083,1-0,False,False,False,False
394,3114,2913,1-0,False,False,False,False
395,3051,3192,0-1,True,False,True,False
397,3083,3114,0-1,True,False,True,False
396,2913,3051,0-1,False,False,False,False
398,3019,2964,1/2-1/2,False,False,False,False
399,3109,3224,0-1,True,False,False,False
400,3035,2780,1-0,True,False,False,False
401,2901,2894,1/2-1/2,False,False,True,False
402,3011,3004,0-1,False,False,True,False
403,2688,2797,1/2-1/2,True,False,True,False
404,3004,3030,1/2-1/2,False,False,False,False
405,2745,3011,1/2-1/2,False,False,False,False
407,3224,3035,1/2-1/2,False,False,True,False
406,2660,2901,0-1,True,False,False,False
409,3047,3019,1-0,False,False,False,False
410,3051,3083,1-0,False,False,False,False
411,3192,2913,1-0,True,False,False,False
408,2964,3109,0-1,True,False,True,False
412,2797,2913,1/2-1/2,False,False,True,False
413,3083,3192,0-1,False,False,True,False
414,3019,3114,0-1,False,False,False,False
415,3109,3047,0-1,False,False,False,False
417,3083,3224,1/2-1/2,True,False,False,False
416,3035,2964,1-0,False,False,False,False
419,3011,2894,1/2-1/2,True,False,True,False
420,3030,2745,1-0,False,False,False,False
418,2901,2780,1-0,True,False,False,False
421,3004,2797,1/2-1/2,False,False,False,False
422,2745,2688,1/2-1/2,False,False,False,False
423,2894,3030,1/2-1/2,True,True,True,False
425,3047,3035,1-0,True,False,False,False
426,3114,3109,1-0,True,False,True,False
424,2964,3083,1/2-1/2,False,False,True,False
427,3051,3019,1/2-1/2,True,False,False,False
428,2913,3083,1/2-1/2,False,False,True,False
429,2797,3083,1/2-1/2,True,False,True,False
430,3019,3192,1/2-1/2,False,False,True,False
431,3109,3051,0-1,True,False,True,False
432,3035,3114,1/2-1/2,False,False,False,False
433,3083,3047,1-0,True,False,False,False
434,2901,2964,0-1,False,False,True,False
436,3011,2780,1/2-1/2,True,False,True,False
437,2688,2894,1/2-1/2,False,False,False,False
435,3226,3224,1-0,True,True,False,False
440,2894,3004,0-1,True,False,True,False
439,2745,2797,1/2-1/2,False,False,True,False
438,3004,2745,1/2-1/2,False,False,True,False
441,2660,2688,1/2-1/2,False,False,False,False
442,2780,3030,0-1,True,False,True,False
443,3224,3011,1-0,True,False,False,False
444,2964,3226,1/2-1/2,False,False,True,False
445,3047,2901,1-0,False,False,False,False
447,3051,3035,1/2-1/2,False,False,False,False
448,3192,3109,1-0,True,False,False,False
446,3114,3083,1-0,True,False,False,False
449,2913,3019,1/2-1/2,False,False,True,False
450,2797,2510,1/2-1/2,False,False,False,False
451,3083,3019,1/2-1/2,True,False,True,False
453,3192,3035,1-0,True,False,False,False
454,3051,3083,1-0,False,False,False,False
455,3114,2901,1-0,True,False,False,False
452,2913,3109,0-1,False,False,True,False
456,3047,3226,1/2-1/2,False,False,True,False
457,2964,3011,1/2-1/2,True,False,True,False
459,2780,2688,1-0,False,False,False,False
458,3224,3030,1-0,True,False,False,False
461,2894,2797,1-0,False,False,False,False
460,2894,2745,1-0,False,False,False,False
463,3004,2780,1-0,True,False,False,False
462,2745,2660,1-0,False,False,False,False
464,3030,2964,1/2-1/2,False,False,True,False
465,3011,3047,1/2-1/2,False,False,True,False
467,2901,3051,1/2-1/2,False,False,False,False
468,3083,3192,1/2-1/2,False,False,False,False
466,3226,3114,1-0,True,False,False,False
470,3109,3083,1/2-1/2,True,False,True,False
471,2797,3019,0-1,True,False,False,False
469,3035,2913,1/2-1/2,True,False,False,False
472,3083,3035,1/2-1/2,False,False,False,False
473,2913,3083,0-1,True,False,True,False
474,3192,2901,1-0,False,False,False,False
475,3051,3226,0-1,False,False,False,False
476,3114,3011,1-0,True,False,False,False
477,3047,3030,1/2-1/2,False,False,True,False
478,2964,2688,1-0,True,False,True,False
480,2780,2745,1-0,False,False,False,False
481,2660,2894,0-1,False,False,False,False
479,3224,3004,1-0,True,False,False,False
482,2660,2797,1/2-1/2,False,False,True,False
483,2894,2780,0-1,False,False,False,False
484,3004,2964,1-0,True,False,False,False
485,3030,3114,1/2-1/2,True,False,True,False
486,3011,3051,1/2-1/2,False,False,False,False
487,3226,3192,0-1,True,False,True,False
488,2901,2913,1/2-1/2,True,False,False,False
489,3083,3083,1-0,False,False,False,False
490,3109,3019,0-1,True,False,True,False
491,3019,3035,1-0,True,False,True,False
492,3083,2901,1-0,True,False,False,False
493,3192,3011,1-0,False,False,False,False
494,3051,3030,1/2-1/2,True,True,False,False
495,3047,3004,1/2-1/2,False,False,False,False
496,2964,2745,1-0,True,False,False,False
497,2780,2660,1-0,False,False,True,False
498,2780,2797,1/2-1/2,False,False,False,False
499,2894,2964,0-1,False,False,False,False
500,3004,3114,0-1,False,False,True,False
501,3030,3192,1/2-1/2,False,False,False,False
502,3011,2913,1-0,False,False,True,False
503,3226,3083,1/2-1/2,True,False,True,False
504,3083,3019,1/2-1/2,False,False,True,False
505,3035,3109,1/2-1/2,True,False,False,False
506,2797,3035,0-1,False,False,False,False
508,3019,2901,1-0,False,False,True,False
507,3109,3083,1/2-1/2,True,False,False,False
509,3083,3011,0-1,False,False,False,False
510,2913,3030,1-0,False,False,False,False
511,3051,3004,1/2-1/2,True,False,True,False
512,3047,2894,1-0,True,False,True,False
513,2780,2964,0-1,True,False,True,False
514,2894,3114,1/2-1/2,False,False,False,False
515,3004,3192,1/2-1/2,False,False,False,False
516,2688,2913,0-1,False,False,True,False
517,3030,3083,1/2-1/2,False,False,False,False
518,3226,3019,1/2-1/2,False,False,True,False
519,2901,3109,1/2-1/2,True,False,True,False
520,3083,3035,1/2-1/2,False,False,False,False
521,2797,3083,0-1,False,False,True,False
522,3035,2901,1-0,False,False,False,False
523,3109,3226,0-1,False,False,True,False
524,3019,3011,1/2-1/2,False,False,False,False
525,2913,3004,1/2-1/2,False,False,False,False
526,3051,2894,1-0,False,False,False,False
527,3047,2780,1/2-1/2,False,False,False,False
528,2964,3224,1/2-1/2,True,False,False,False
529,2964,2797,1-0,True,False,False,False
530,3224,3047,1-0,True,False,True,False
531,2894,3192,1/2-1/2,False,False,False,False
532,2745,2913,0-1,False,False,True,False
533,3004,3083,1/2-1/2,True,False,False,False
534,2688,2510,0-1,False,False,False,False
535,3030,3019,0-1,False,False,True,False
536,3011,3109,0-1,False,False,False,False
537,3226,3035,1-0,False,False,False,False
538,2901,3083,0-1,False,False,False,False
539,2797,2901,1/2-1/2,False,False,False,False
540,3083,3226,0-1,False,False,True,False
541,3035,3011,1/2-1/2,False,False,False,False
543,2913,2894,0-1,False,False,False,False
542,3109,3030,1/2-1/2,False,False,False,False
544,3051,2780,1-0,True,False,False,False
