Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
298,2136,2157,1-0,7,-,4,-,7,4,c1e3,d7d5
300,1969,2117,0-1,6,-,4,-,6,4,d2d4,c7c5
302,906,813,0-1,-,-,9,-,-,"8,9",-,"b4c3,f6e4"
290,1504,1443,1-0,12,-,12,-,"4,5,6,7,8,9,10,11,12","9,10,11,12","d2d4,d2d4,d4e5,d1d8,f3e5,b1c3,c6d8,b1c3,c1d2","f6e4,e8d8,f6g4,d7f5"
303,1786,1776,1-0,-,-,-,8,"12,13,14",8,"d3e2,g2f3,h1g1",g8f6
295,1928,1911,0-1,-,-,7,-,"5,6,7,8,9,10,11,12",7,"b5c6,d1e2,d2d3,e1g1,e1g1,b1c3,c1e3,e4e5",e8g8
306,1401,1431,0-1,6,-,7,-,6,7,d4d5,h7h6
309,1500,1520,0-1,-,-,-,-,-,-,-,-
301,1433,1465,1-0,11,-,-,9,"10,11","5,6,7,8,9,9","b5d6,e1g1","b7b6,f6e4,e6d5,d7g4,e8g8,e8g8"
307,700,823,0-1,-,-,-,-,15,-,d2e3,-
304,1375,1344,0-1,12,-,15,-,12,"14,15",d3b5,"e8g8,e8g8"
305,1440,1462,0-1,15,-,9,-,"7,8,9,10,11,12,13,14,15","8,9","d3g6,d3g6,d3g6,d3g6,f4e5,b1d2,b1d2,a1b1,h4h5","g6h5,g6d3"
312,1380,1267,1/2-1/2,-,7,7,-,"6,7",7,"g5f6,h4f6",f6e4
299,1514,1504,0-1,14,-,-,10,"4,5,6,7,8,9,10,11,12,13,14","5,6,7,8,9,10,10","f3g5,b1c3,c2c3,b2b4,b1d2,c4e6,a2a4,a2a4,e6g5,e1g1,e1g1","d7d6,a7a6,c5b6,a7a5,f7e6,h7h6,h7h6"
315,899,980,0-1,7,-,-,-,"5,6,7",-,"d2d4,a2a4,a2a4",-
316,1720,1718,1-0,8,-,10,-,8,"9,10",e1g1,"d6e7,h7h6"
314,1637,1604,1-0,9,-,-,-,"4,5,6,7,8,9",-,"b1c3,d2d4,c4f7,d4c5,f3e5,e1g1",-
311,1583,1603,0-1,-,-,-,-,"8,9,10,11,12,13,14,15,15",-,"e2e4,e1g1,e1g1,d2b3,d1e2,c1d2,d1e2,e1c1,e1c1",-
313,1380,1381,0-1,11,-,14,-,"5,6,8,9,10,11","10,11,12,14,14","e1g1,c2c4,g5f3,f3e2,g5f3,a2a3","e7c7,c6b4,e7g6,c6b4,c6b4"
322,1245,1242,1-0,-,-,-,-,-,-,-,-
310,1882,1872,0-1,15,-,-,-,"8,9,10,11,12,13,13,15,15",15,"d3b5,f3e5,f3d4,e1g1,e1g1,d4c6,d4c6,e1c1,e1c1",e8c8
308,1974,1962,1-0,-,11,-,-,"6,7,8,9,9,10,10,11,11","8,9,10,11","f4h6,f4h6,f4h6,e3e4,e3e4,f4h6,f4h6,f4h6,f4h6","a7a6,d7c6,f5g6,h6f7"
320,1729,1748,0-1,8,-,7,-,"6,7,8",7,"b1c3,h2h3,d4e2",e8g8
318,1676,1649,1-0,-,11,-,12,"10,11,11","7,8,9,10,11,12,12","g4e4,g4f4,g4f4","c7c5,h7h5,d6e5,c8b7,h7h5,h7h5,h7h5"
323,2044,2029,1-0,12,-,10,-,"9,10,11,12,12","9,10","d4d2,f2f3,f1d3,f2f3,f2f3","f6g4,c8e6"
319,1674,1519,1-0,12,-,-,11,"6,7,8,9,10,11,12","7,8,9,11,11","h2h3,h2h3,c3d5,e2f3,c2c3,c2c3,e1g1","e7f6,g4e6,c6d4,c6d8,c6d8"
326,1697,1737,1-0,10,-,9,-,10,9,d1b3,e8g8
321,1306,1258,1-0,-,-,-,-,"10,11,12,13","13,14,15","e3e4,c6a5,g2b7,e1g1","b7h1,c5e4,h1f1"
325,1415,1262,1-0,-,10,9,-,"9,10","5,6,7,8,9","c3d5,h2h3","d7d5,g4e3,g4e3,f6h6,e8d8"
327,1450,1687,1-0,4,-,6,-,4,6,d2d4,e8g8
330,1283,1299,1-0,-,-,-,-,"6,7,8,9",-,"e4d5,d1f3,f3d5,c4d5",-
328,1779,1759,0-1,8,-,-,-,"5,6,7,8",-,"d3d4,d3d4,a2a4,a2a4",-
317,1135,1197,0-1,-,-,-,-,"7,8,9,10,11,12,13,14,15","5,6,7","e1c1,d2h6,h6g7,d4d5,g5h7,g7f8,h7f6,h7f6,d4e5","d7d5,h7h5,g7h6"
336,1797,1801,0-1,-,-,-,-,-,-,-,-
324,826,920,1-0,-,-,5,-,"4,5,6,7,8,9,11,12","4,5","f3e5,c4f7,f7d6,f7h6,c4b3,b3d5,b3d5,g5h7","e8g8,d7d5"
329,2165,2197,0-1,7,-,-,-,"6,7","13,14,15","c2c3,e1g1","f7f6,d8c7,d8c7"
332,1827,1805,0-1,7,-,10,-,7,"7,8,9,10",e1g1,"b8d7,b8d7,c8b7,c8b7"
331,1444,1455,0-1,14,-,-,14,"7,8,9,10,11,12,13,14","9,10,11,12,13,14,14","e1g1,f3d1,e1g1,c4d5,c2c3,c4b3,a2b3,d1g4","f6d5,c7c6,d6d5,a7a5,a7a5,e8g8,a7a5"
339,1558,1523,0-1,7,-,-,-,7,15,e1g1,e7f6
333,1474,1360,0-1,15,-,-,-,"11,12,13,14,15","9,10,10,11,11,12,12,13,13,14,14,15,15","b5d3,a4c2,c3e2,a1b1,c2e4","e8g8,e8g8,e8g8,e8g8,e8g8,e8g8,e8g8,a5c4,a5c4,d7c6,d7c6,e4c3,e4c3"
340,1741,1707,1-0,-,-,-,-,"4,5,6,7,11",-,"f3g5,f3e5,e5f7,f7d8,d3e4",-
334,1681,1779,0-1,-,-,10,-,"7,8,9,10,11,12,13,14,15","7,8,9,10","e1g1,d1b3,g5f3,c3d4,d1b3,g5e6,e6g5,g5f7,b1a3","d8c8,c7c5,b8c6,d4c3"
