Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
22479,1433,1387,1-0,-,-,15,-,-,"10,11,12,13,14,14,15,15",-,"b8c6,c8f5,b7b6,c8b7,e8c8,e8c8,e8c8,e8c8"
22480,1375,1364,1-0,-,-,-,-,"10,11,12,13,14,15","13,14,15","d2b3,e4d5,d4b5,e3c5,c5d4,d4c6","d5e4,d5e4,e5c5"
22481,1339,1299,1-0,7,-,15,-,7,15,b5c6,e8g8
22482,1357,1331,1-0,11,-,11,-,11,"8,9,10,10,11,11",a2a3,"d6e7,e8g8,c7c8,h7h5,b4a6,e8g8"
22483,1684,1671,1/2-1/2,-,14,5,-,"6,7,8,9,10,11,12,14",5,"b1c3,g2g3,c4f7,c1e3,f3g3,h2g3,a2a3,e1c1",b8c6
22484,1340,1310,0-1,-,11,13,-,"5,6,8,9,10,11,11","12,13,13","c2c4,d1b3,e3e4,d3f5,d1b3,c3c4,c3c4","g7g6,g7g5,g7g5"
22485,1674,1715,1-0,8,-,8,-,8,"7,8",h2h3,"c8g4,e8g8"
22486,1724,1726,0-1,9,-,11,-,"8,9,9","8,9,10,10,11,11","c4c5,c4c5,c4c5","b6b3,g7g5,e6d5,e6d5,g7g5,g7g5"
22487,2127,2124,1-0,-,-,-,11,-,11,-,f7f6
22488,2085,2039,1-0,-,-,-,-,"6,7,8","9,10,11,11,12,12,13,13,14,14,15,15","c4d3,e2c4,g2f3","h4h3,h4h3,h4h5,h4h5,e7f5,e7f5,f5h4,f5h4,f5d4,f5d4,d4f3,d4f3"
22489,1808,1849,0-1,-,-,-,10,"11,12,13",10,"b2g7,g7h8,a1d1",g8f6
22490,1610,1592,1-0,15,-,12,-,"10,11,12,12,13,13,14,14,15,15","8,9,10,11,11,12,12","g5f4,h4g3,d3b5,h4g3,h4g3,h4g3,f4g6,f4g6,e1c1,e1c1","g4h5,h5g6,h5g6,h5g6,h5g6,h5g6,h5g6"
