Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
14204,3486,3246,1/2-1/2,-,-,-,12,-,"11,12",-,"e4e5,f2f4"
14205,3486,3301,1-0,5,-,6,-,"4,5","5,6","f8c5,d7d6","f1e1,b5c6"
14206,3226,3486,1/2-1/2,5,-,6,-,"4,5","5,6","f8c5,d7d6","f1e1,b5c6"
14207,3486,3218,1-0,15,-,-,-,"9,10,11,12,13,13,14,14,15",-,"e6e5,h7h5,g8f6,b8b4,b4d4,b4d4,g7g6,g7g6,f8h6",-
14208,3510,3486,1-0,9,-,-,-,9,"13,14,14,15,15",f8d6,"f2f4,d2d4,d2d4,c3d1,c3d1"
14210,3453,3486,1/2-1/2,8,-,6,-,"6,7,8","5,6","e8g8,b8c6,d8e8","c1b2,b1d2"
14209,3486,3211,1-0,8,-,6,-,"6,7,8","5,6","e8g8,b8c6,d8e8","c1b2,b1d2"
14211,3486,3540,1/2-1/2,5,-,7,-,5,"6,7",f8g7,"f1e1,d2d3"
14214,3486,3234,1/2-1/2,6,-,15,-,"5,6","7,8,9,10,11,12,13,14,15","d7d5,f8g7","c3a4,f3e5,f4e5,c2c4,g2a8,e2e4,b2b4,d1b3,b3b4"
14213,3470,3486,1/2-1/2,8,-,7,-,8,7,e7e5,e1g1
14212,3577,3486,1/2-1/2,9,-,-,-,"6,7,8,9","14,15,15","f6d7,d8b6,b6c6,e7e6","c4d5,a1a3,a1a3"
14215,3454,3486,1/2-1/2,10,-,-,-,"5,6,7,8,9,10","7,8,9,10,11,12","d7d5,f8g7,d5d4,b7c6,a8b8,h7h5","e5c6,c3a4,e1g1,a4c5,g3h4,d1e1"
14216,3345,3486,1-0,14,-,5,-,"9,10,12,13,14",5,"d8a5,c5e7,e4c3,e6d5,a5c5",e2e3
