Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
126,2518,2473,1-0,"8,9,10,11,12,13",-,"c1e3,e3d4,c3e2,e2d4,d4e6,e1g1",-
127,2397,2515,1-0,8,7,e1g1,h7h6
128,2661,2405,1-0,7,12,b1c3,a8c8
130,2514,2496,1/2-1/2,"8,13,13,14,14,15,15","13,14","d4b5,e5d3,e5d3,d2e3,d2e3,h2h3,h2h3","e4e2,e8g8"
129,2594,2533,1-0,8,7,e1c1,c7c6
131,2559,2572,0-1,"8,9,10","10,11","e2f4,d2f3,e1g1","c5d4,e8g8"
132,2452,2608,0-1,8,"4,5,6,7",e1g1,"b4e7,b7b6,c8a6,b4c3"
133,2507,2563,1-0,8,8,f2f4,e8g8
134,2822,2799,1-0,15,15,c1f4,e5f6
137,2490,2504,1-0,5,5,c2c4,e8g8
135,2419,2558,0-1,"9,10,11,11","7,8,9,10,11,12","e1g1,h2h3,e2c1,e2c1","e7e5,a7a6,h4h3,h4h3,h3g2,h3g2"
136,2622,2610,1-0,5,"8,9,9",b1c3,"f5h3,f5h3,f5h3"
138,2630,2528,0-1,7,"9,10,11,12,13",e1g1,"g8e7,f6e5,e6d5,c6e5,f8e7"
139,2538,2627,1/2-1/2,"7,8,9",8,"e1g1,e1g1,e1g1",b8c6
140,2462,2521,0-1,"7,8,9,10",-,"c4e2,a2a4,c3e2,e1g1",-
141,2613,2690,0-1,8,"10,11",e1g1,"d7d6,f6g4"
142,2607,2538,0-1,"8,9,10,11,12,13,13,14,14,15,15",4,"d4d5,d4d5,e3e4,c1e3,d1d2,e1c1,e1c1,e3g5,e3g5,g5f6,g5f6",c7c5
143,2468,2618,1-0,"4,5,6,7,8,9,10,11,12",7,"e1g1,d2d4,a2a4,b1d2,b1d2,g2g4,g4g5,d3e4,d2c4",c8e6
144,2484,2549,1-0,7,13,f3e5,e8g8
145,2615,2632,1-0,7,11,f3e5,b6c7
146,2598,2325,1-0,8,15,d4c5,g7g6
148,2784,2735,0-1,"11,12",4,"c3b2,d4d5",e8g8
149,2738,2650,0-1,5,"7,8,9,10,11,12,13,14,15,15",e1c1,"f5g6,h7h5,e7e6,a8c8,g6d3,c6c5,b5b4,f8e7,a5b5,a5b5"
147,2471,2509,1/2-1/2,"10,11,12,13",13,"e1g1,b1c3,e1g1,e1g1",e8g8
150,2704,2989,0-1,8,9,d4d5,f6h5
152,2807,2920,1-0,"8,9,10,11,11",13,"c4b3,g5e3,f2f4,e1c1,e1c1",e8c8
151,2694,2575,1-0,"9,10,11,12,13,14,15",4,"h2h4,b2b3,a2a4,f3f4,d5e6,d2d6,f1e2",d7d6
154,2389,2552,0-1,7,"7,8,9",e4e5,"e8g8,d7d6,h7h6"
155,2728,2851,0-1,"8,9,10,11,12,12,13,13,14,14,15,15",8,"f2f4,h6g7,h6g7,h4h5,c3d5,c3d5,c3d5,c3d5,f2f4,f2f4,g3f4,g3f4",g7h6
153,2497,2509,1-0,"7,8,9,10,11,12,13",5,"a2a3,a2a4,a4b5,f3g5,g2c6,e1g1,e1g1",e8g8
156,2451,2634,0-1,"8,9",5,"d4d5,f3d4",g4f3
157,2549,2576,0-1,"8,15",4,"d4e5,d3e4",c7c5
158,2541,2362,1-0,"9,10,11,12","11,12,13,13,14,14","e5d6,c1e3,a4b3,c1f4","a7a6,d6b4,d7b5,d7b5,e6e5,e6e5"
159,2587,2538,1/2-1/2,"12,13,14,15",-,"a3b5,b5a7,e4f5,e4f5",-
160,2618,2639,1-0,"9,10","10,11","h2h4,f1d3","d8b6,e8g8"
161,2729,2468,1-0,"10,11,12,12",8,"g3e4,e2f4,e1g1,e1g1",c6c5
163,2508,2592,0-1,7,6,b2b4,c7c6
162,2504,2503,1-0,"7,8","8,9,10","d4e2,e1g1","e8g8,d8c7,e8g8"
164,2574,2350,1-0,9,"7,8",e1g1,"d6c5,e8g8"
166,2521,2596,0-1,"12,13,14,14,15,15","8,9,10,11,12,12","f3h4,f1e2,e3d4,e3d4,e4d5,e4d5","b8c6,d7d5,d7d5,f7f5,e8c8,e8c8"
167,2390,2518,0-1,"9,10,10",13,"a2a3,a2a4,a2a4",a6e2
165,2383,2529,0-1,7,6,e1g1,e7e5
169,2532,2474,0-1,6,11,e1g1,c8d7
170,2569,2719,0-1,10,6,e1g1,e8g8
168,2519,2454,1-0,"9,10,11,12,12","11,12,12","h2h3,g5f4,f4d6,f4d6,f4d6","b8c6,d6f4,d6f4"
171,2564,2446,1-0,7,"10,11",d3b5,"a6e2,b7b6"
172,2624,2583,1-0,6,7,e1g1,e8g8
173,2589,2557,1-0,-,"12,13,14,15",-,"h7h6,b8c6,e7f5,e7f5"
175,2593,2600,1-0,11,"6,7,8",b2b4,"h6g4,b6a5,b8d7"
174,2471,2563,1-0,"9,10","13,14,14","c1e3,c4b5","c5d4,c5d4,c5d4"
176,2605,2537,1-0,"9,10,11,12,13",8,"d4c5,d4c5,d4c5,e1g1,d4c5",c5d4
177,2739,2671,0-1,7,"5,6",e1g1,"d7d5,e8g8"
