Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
78004,1447,1437,0-1,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78012,1252,1195,1-0,"1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0"
78005,1910,1892,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0"
78011,1202,1257,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
78016,1547,1514,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1"
78013,1183,1222,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
78014,1161,1064,1/2-1/2,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78015,1557,1579,0-1,"1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0","1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
78020,965,940,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
78018,1404,1385,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78010,1919,1939,1/2-1/2,"1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0","0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
78022,2177,2270,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0","0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
78017,1032,1013,1-0,"1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
