WhiteElo,BlackElo,Result,test
2780,3030,0-1,[1]
3224,3011,1-0,[1]
2964,3226,1/2-1/2,[1]
3047,2901,1-0,[1]
3114,3083,1-0,[1]
3051,3035,1/2-1/2,[1]
3192,3109,1-0,[1]
2913,3019,1/2-1/2,[1]
2797,2510,1/2-1/2,[1]
3083,3019,1/2-1/2,[1]
2913,3109,0-1,[1]
3192,3035,1-0,[1]
3051,3083,1-0,[1]
3114,2901,1-0,[1]
3047,3226,1/2-1/2,[1]
2964,3011,1/2-1/2,[1]
3224,3030,1-0,[1]
2780,2688,1-0,[1]
2894,2745,1-0,[1]
2894,2797,1-0,[1]
2745,2660,1-0,[1]
3004,2780,1-0,[1]
3030,2964,1/2-1/2,[1]
3011,3047,1/2-1/2,[1]
3226,3114,1-0,[1]
2901,3051,1/2-1/2,[1]
3083,3192,1/2-1/2,[1]
3035,2913,1/2-1/2,[1]
3109,3083,1/2-1/2,[1]
2797,3019,0-1,[1]
3083,3035,1/2-1/2,[1]
2913,3083,0-1,[1]
3192,2901,1-0,[1]
3051,3226,0-1,[1]
3114,3011,1-0,[1]
3047,3030,1/2-1/2,[1]
2964,2688,1-0,[1]
3224,3004,1-0,[1]
2780,2745,1-0,[1]
2660,2894,0-1,[1]
2660,2797,1/2-1/2,[1]
2894,2780,0-1,[1]
3004,2964,1-0,[1]
3030,3114,1/2-1/2,[1]
3011,3051,1/2-1/2,[1]
3226,3192,0-1,[1]
2901,2913,1/2-1/2,[1]
3083,3083,1-0,[1]
3109,3019,0-1,[1]
3019,3035,1-0,[1]
3083,2901,1-0,[1]
3192,3011,1-0,[1]
3051,3030,1/2-1/2,[1]
3047,3004,1/2-1/2,[1]
2964,2745,1-0,[1]
2780,2660,1-0,[1]
2780,2797,1/2-1/2,[1]
2894,2964,0-1,[1]
3004,3114,0-1,[1]
3030,3192,1/2-1/2,[1]
3011,2913,1-0,[1]
3226,3083,1/2-1/2,[1]
3083,3019,1/2-1/2,[1]
3035,3109,1/2-1/2,[1]
2797,3035,0-1,[1]
3109,3083,1/2-1/2,[1]
3019,2901,1-0,[1]
3083,3011,0-1,[1]
2913,3030,1-0,[1]
3051,3004,1/2-1/2,[1]
3047,2894,1-0,[1]
2780,2964,0-1,[1]
2894,3114,1/2-1/2,[1]
3004,3192,1/2-1/2,[1]
2688,2913,0-1,[1]
3030,3083,1/2-1/2,[1]
3226,3019,1/2-1/2,[1]
2901,3109,1/2-1/2,[1]
3083,3035,1/2-1/2,[1]
2797,3083,0-1,[1]
3035,2901,1-0,[1]
3109,3226,0-1,[1]
3019,3011,1/2-1/2,[1]
2913,3004,1/2-1/2,[1]
3051,2894,1-0,[1]
3047,2780,1/2-1/2,[1]
2964,3224,1/2-1/2,[1]
2964,2797,1-0,[1]
3224,3047,1-0,[1]
2894,3192,1/2-1/2,[1]
2745,2913,0-1,[1]
3004,3083,1/2-1/2,[1]
2688,2510,0-1,[1]
3030,3019,0-1,[1]
3011,3109,0-1,[1]
3226,3035,1-0,[1]
2901,3083,0-1,[1]
2797,2901,1/2-1/2,[1]
3083,3226,0-1,[1]
3035,3011,1/2-1/2,[1]
3109,3030,1/2-1/2,[1]
2913,2894,0-1,[1]
3051,2780,1-0,[1]
3114,3224,1/2-1/2,[1]
3047,2964,1/2-1/2,[1]
3047,2797,1/2-1/2,[1]
2964,3114,1/2-1/2,[1]
3224,3051,1-0,[1]
2660,2913,0-1,[1]
2894,3083,1-0,[1]
2745,2510,0-1,[1]
3004,3019,0-1,[1]
3030,3035,0-1,[1]
3011,3083,0-1,[1]
2901,3011,1/2-1/2,[1]
3083,3030,1/2-1/2,[1]
3109,3004,1/2-1/2,[1]
3019,2745,1-0,[1]
2913,2780,0-1,[1]
3192,3224,1/2-1/2,[1]
3051,2964,1/2-1/2,[1]
3114,3047,1/2-1/2,[1]
3047,3051,1-0,[1]
2964,3192,0-1,[1]
2660,2510,1/2-1/2,[1]
2894,3019,0-1,[1]
3004,3035,1-0,[1]
3030,2901,1-0,[1]
3011,3226,0-1,[1]
2797,3011,1/2-1/2,[1]
3226,3030,1-0,[1]
2901,2688,1/2-1/2,[1]
3083,3004,1/2-1/2,[1]
3035,2745,1-0,[1]
3109,2894,1-0,[1]
2510,2780,1/2-1/2,[1]
3083,3224,1/2-1/2,[1]
2913,2964,1/2-1/2,[1]
3192,3047,1-0,[1]
3051,3114,0-1,[1]
3051,2797,1/2-1/2,[1]
3114,3192,1/2-1/2,[1]
3047,2913,1/2-1/2,[1]
2964,3083,1-0,[1]
2780,3019,0-1,[1]
2894,3035,1/2-1/2,[1]
3004,2901,1-0,[1]
3030,3011,1/2-1/2,[1]
2797,3030,0-1,[1]
3226,3004,1/2-1/2,[1]
2901,2745,1-0,[1]
3083,2894,1/2-1/2,[1]
3019,3224,1/2-1/2,[1]
3083,3047,0-1,[1]
2913,3114,1/2-1/2,[1]
3192,3051,1-0,[1]
3051,2913,1-0,[1]
3114,3083,1-0,[1]
2964,3019,1/2-1/2,[1]
3224,3109,1-0,[1]
2780,3035,0-1,[1]
2894,2901,1-0,[1]
3004,3011,1-0,[1]
2797,2688,1-0,[1]
3030,3004,0-1,[1]
3011,2745,1-0,[1]
2901,2660,1-0,[1]
3035,3224,0-1,[1]
3109,2964,1/2-1/2,[1]
3019,3047,1-0,[1]
3083,3051,1/2-1/2,[1]
2913,3192,0-1,[1]
2913,2797,1-0,[1]
3192,3083,1-0,[1]
3114,3019,1/2-1/2,[1]
3047,3109,1-0,[1]
2964,3035,1/2-1/2,[1]
3224,3083,1-0,[1]
2780,2901,1-0,[1]
2894,3011,1/2-1/2,[1]
2745,3030,1/2-1/2,[1]
2797,3004,1/2-1/2,[1]
2688,2745,1-0,[1]
3030,2894,0-1,[1]
3083,2964,0-1,[1]
3035,3047,1/2-1/2,[1]
3109,3114,1/2-1/2,[1]
3019,3051,1-0,[1]
3083,2913,1/2-1/2,[1]
3083,2797,1/2-1/2,[1]
3192,3019,1/2-1/2,[1]
3051,3109,1/2-1/2,[1]
3114,3035,1/2-1/2,[1]
3047,3083,1/2-1/2,[1]
2964,2901,1-0,[1]
3224,3226,1/2-1/2,[1]
2780,3011,1/2-1/2,[1]
2894,2688,1-0,[1]
2745,3004,0-1,[1]
2797,2745,1/2-1/2,[1]
3004,2894,1-0,[1]
2688,2660,0-1,[1]
3030,2780,1/2-1/2,[1]
3011,3224,0-1,[1]
3226,2964,1-0,[1]
2901,3047,0-1,[1]
3083,3114,1/2-1/2,[1]
3035,3051,1-0,[1]
3109,3192,1/2-1/2,[1]
3019,2913,1-0,[1]
3192,3030,1-0,[1]
3109,3226,1/2-1/2,[1]
3011,3019,1/2-1/2,[1]
3083,3083,1-0,[1]
2901,3114,0-1,[1]
3051,3047,1/2-1/2,[1]
3035,2964,1-0,[1]
2797,2780,1/2-1/2,[1]
2688,2913,1/2-1/2,[1]
3004,2745,1-0,[1]
2660,2894,1/2-1/2,[1]
3030,2894,1-0,[1]
2745,2660,1/2-1/2,[1]
2913,3004,1/2-1/2,[1]
2780,2688,1/2-1/2,[1]
2964,2797,1-0,[1]
3047,3035,1-0,[1]
3114,3051,1-0,[1]
3083,2901,1-0,[1]
3019,3083,1/2-1/2,[1]
3224,3011,1-0,[1]
