Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
63820,1590,1531,0-1,6,1,10,1
63824,1548,1556,1-0,9,2,10,3
63827,1626,1694,1-0,7,1,7,3
63816,1893,1895,1-0,10,3,10,3
63823,1416,1500,0-1,7,1,10,3
63825,1667,1755,0-1,9,2,7,2
63830,1961,1958,0-1,7,2,6,1
63822,1762,1725,1-0,10,2,9,0
63828,1717,1795,0-1,7,2,6,0
63835,1569,1566,0-1,5,2,5,1
63829,1386,1380,1-0,10,2,5,3
63837,1830,1835,0-1,8,3,8,4
63833,1563,1554,0-1,6,2,10,1
63831,1238,1212,1-0,7,2,10,1
63836,2025,2005,0-1,10,2,8,2
63834,1822,1915,0-1,9,1,7,4
63832,1833,1833,1-0,7,2,10,0
63843,894,848,1-0,7,1,6,1
63841,2106,2176,0-1,10,4,10,2
63839,2222,2192,1-0,6,3,9,3
63845,1628,1745,1/2-1/2,7,1,8,2
63849,1681,1670,1-0,8,2,7,2
63840,1034,985,1-0,10,1,10,3
63842,1941,1920,1-0,10,1,10,1
63844,1730,1725,1-0,10,1,10,1
63838,1434,1428,1/2-1/2,10,2,10,2
63852,1465,1463,1-0,7,2,7,2
63851,2115,2158,1-0,6,0,9,2
63846,1762,1764,0-1,10,1,7,2
63847,1643,1627,1-0,6,1,10,0
63854,1313,1335,0-1,6,3,6,2
63858,705,698,1-0,5,1,3,1
63848,2010,1967,1-0,8,1,9,2
63853,1581,1622,0-1,6,2,8,0
63850,1753,1716,1-0,10,2,10,2
63856,1326,1586,0-1,5,3,8,2
63861,1315,1317,0-1,8,2,9,2
63860,1533,1444,1-0,10,2,5,2
63857,2020,2071,0-1,10,2,8,2
63865,1813,1808,1-0,4,2,6,1
63855,1001,1067,0-1,7,0,6,0
63862,2177,2171,0-1,9,2,9,1
63864,1463,1468,1-0,10,1,7,3
63863,1507,1528,0-1,10,2,10,2
63859,1823,1822,1-0,10,1,5,2
63866,1530,1540,0-1,10,2,3,1
63868,1726,1746,1-0,10,2,9,2
63869,1270,1280,0-1,10,2,6,3
63874,1269,1336,1-0,9,2,10,2
63870,802,791,1-0,7,2,9,1
63867,1480,1548,1/2-1/2,10,1,10,1
63879,1336,1309,1-0,2,0,1,0
63871,1660,1679,0-1,8,1,9,2
63873,1955,1966,0-1,10,2,9,3
63878,901,972,0-1,4,2,5,2
63877,1957,1941,0-1,6,3,8,2
63872,2066,2149,1-0,10,2,8,2
63875,1860,1860,1-0,10,1,9,2
63885,1538,1549,0-1,8,0,5,0
63884,1927,2021,0-1,7,1,7,2
63880,1943,1979,1-0,6,3,7,1
63882,1250,1320,1-0,10,1,6,1
63881,2207,2242,0-1,5,0,10,2
63876,1950,1984,1-0,10,1,9,2
63889,2143,2032,1-0,6,3,8,2
63891,1689,1663,1-0,8,0,6,0
