Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18635,2075,2150,0-1,7,3,10,2
18640,1300,1256,1-0,2,1,1,0
18632,1978,2007,0-1,7,1,10,0
18637,1039,1063,1-0,8,2,5,2
18629,1335,1441,0-1,6,3,10,2
18634,1536,1508,0-1,7,3,9,1
18639,1983,1981,0-1,8,2,6,2
18641,2257,2190,0-1,10,3,7,3
18644,1637,1620,1-0,5,3,5,2
18636,1655,1640,0-1,10,1,8,1
18642,1382,1387,1-0,10,2,6,2
18638,1844,1807,0-1,10,1,7,1
18645,1472,1448,1-0,7,2,9,1
18648,1477,1339,1-0,6,2,8,1
18647,1300,1299,1-0,6,3,10,1
18649,1561,1552,0-1,10,3,9,2
18646,1437,1435,1-0,5,2,10,2
18643,1084,1047,1/2-1/2,10,2,10,2
18651,1625,1604,0-1,5,1,8,2
18650,1680,1785,1-0,10,1,6,3
18652,1500,1500,1-0,10,2,5,3
18653,1500,1246,0-1,7,1,10,1
18654,1749,1799,0-1,9,1,8,3
18655,1655,1657,1-0,8,2,10,2
18661,1224,1246,0-1,4,2,5,3
18658,1334,1124,0-1,6,1,5,2
18660,1390,1436,0-1,6,2,6,2
18664,993,1003,1-0,8,4,4,2
18656,1829,1590,1-0,9,0,9,0
18657,839,847,1-0,10,3,5,3
18659,1376,1393,1-0,8,1,10,1
18665,1593,1607,0-1,8,2,5,2
18662,1708,1716,0-1,5,0,10,2
18663,1522,1493,0-1,10,2,5,1
18668,1963,1955,0-1,8,1,10,3
18667,1308,1284,1-0,10,2,6,2
18672,1575,1556,0-1,10,2,9,2
18670,1601,1598,0-1,7,2,10,2
18671,2280,2195,0-1,6,4,10,3
18669,1144,1148,1-0,7,3,10,2
18666,1163,1123,1-0,8,2,10,0
18674,1969,2065,1-0,9,4,10,2
18675,1548,1485,1-0,7,3,7,1
18679,1686,1722,0-1,9,2,8,3
18681,1452,1439,1-0,10,2,6,3
18680,1721,1689,1-0,9,2,10,2
18676,940,941,1-0,10,2,7,1
18677,1946,1918,0-1,7,1,8,2
18682,1436,1444,1-0,4,1,9,2
18673,1944,1961,1-0,9,2,10,1
18684,2240,1946,0-1,7,1,7,1
18690,1272,1202,0-1,4,1,4,1
18683,1546,1553,0-1,7,2,7,2
18689,2283,2194,0-1,5,1,6,4
18678,1500,1471,0-1,10,1,10,1
18686,2190,2166,1-0,10,1,10,2
18691,2158,2094,0-1,4,2,8,1
18687,992,957,0-1,9,3,8,3
18688,1222,1215,0-1,6,2,9,1
18685,1882,1921,0-1,10,1,6,2
18693,1108,1116,0-1,8,2,6,1
18698,1373,1392,0-1,10,0,5,3
18697,1515,1562,1-0,8,2,7,2
18696,1544,1566,1-0,6,2,7,1
18695,2053,2101,1-0,9,2,8,2
18692,964,1042,1-0,8,2,9,2
18694,1646,1646,1-0,5,2,10,3
18702,1957,2095,1-0,6,2,5,2
18700,1655,1685,1-0,10,2,7,1
18699,938,904,0-1,10,3,7,2
18703,1167,1203,0-1,10,0,8,0
18701,2097,2119,1-0,8,2,7,2
18707,1361,1308,1-0,10,1,10,1
18710,1887,2138,1-0,10,1,8,2
18705,1355,1452,0-1,10,2,10,2
18704,1806,1806,1-0,10,3,8,1
18712,1882,1870,0-1,6,3,8,4
18711,2090,2159,0-1,10,3,8,1
18708,2000,2012,1/2-1/2,10,3,7,2
18714,978,1013,0-1,9,2,5,1
18706,1093,1027,1-0,8,2,8,1
18709,1516,1517,1-0,10,2,10,2
18715,1731,1662,1-0,10,1,9,3
18716,1667,1676,0-1,10,0,10,1
18713,1949,2159,0-1,10,0,10,1
18717,1953,1954,1-0,5,1,8,1
18720,1406,1403,0-1,8,4,8,2
18719,1535,1538,1-0,10,1,7,2
18721,2217,2123,1-0,9,1,7,3
18724,1887,1871,1-0,7,1,8,2
18729,1922,2132,1-0,1,0,0,0
18728,1798,1818,0-1,7,2,6,2
18722,1498,1443,0-1,10,0,8,0
18718,949,854,0-1,10,1,8,3
18730,1857,1851,1-0,6,2,10,2
18734,841,772,0-1,1,0,1,0
18723,1147,1145,1-0,5,3,10,2
18727,2060,2216,1-0,8,2,10,0
18725,1423,1431,1-0,10,1,5,2
18726,1315,1315,0-1,10,2,6,1
18731,2004,1984,0-1,8,1,9,3
18732,728,713,1-0,4,1,7,0
18738,1658,1649,1-0,10,3,7,2
18735,1671,1553,1-0,8,0,7,2
18737,1565,1569,0-1,9,2,8,0
18739,1554,1572,0-1,9,2,6,2
18736,1622,1589,0-1,5,2,9,1
18740,1528,1539,1-0,10,3,9,2
18742,1551,1492,1-0,5,3,10,2
18743,1805,1808,1-0,7,1,7,2
18733,1745,1741,0-1,10,2,10,2
18744,1526,1536,0-1,10,2,4,2
18748,1190,1195,1-0,10,2,6,3
18746,2125,1973,0-1,10,1,10,2
18747,1929,1913,1-0,9,1,10,3
18749,2062,2057,1-0,5,1,6,1
18753,1194,1154,0-1,6,3,8,1
18741,624,860,1-0,10,2,7,1
18745,1252,1156,0-1,8,0,9,3
18750,2035,2033,1-0,8,3,9,1
18755,2011,2084,0-1,8,2,9,4
18752,2017,2066,0-1,6,2,10,2
18757,1826,1864,0-1,6,1,7,2
18751,2233,2234,1-0,8,2,7,1
18759,1807,1819,0-1,8,2,9,3
18754,1746,1810,1-0,8,3,10,0
18760,2200,2130,0-1,9,1,9,3
18766,905,872,0-1,6,1,4,1
18762,1684,1670,1-0,10,0,5,1
18756,743,776,0-1,10,0,10,1
18758,1580,1480,1-0,7,3,10,2
18769,1650,1678,0-1,0,0,0,0
18763,1469,1504,0-1,10,1,9,2
18765,1275,1261,0-1,10,2,10,2
18761,1983,1981,1-0,10,0,8,2
18764,1432,1260,0-1,10,0,10,1
18767,2165,2196,0-1,6,3,9,2
18771,1139,1120,1-0,10,3,10,2
18770,1232,1216,0-1,7,2,8,3
18772,1918,1856,0-1,5,2,10,2
